Name,Model,Date,Clock Speed (MHz),Bus Width,Power Typ (W),Tech,Feature Size (um),Num Metal Layers,Num Transistors,Die Size,I $,D $,L2 $,L3$,Vdd,MIPS,Spec92,Spec92,Spec95,Spec95,Spec2000,Spec2000,Spec2006,Spec2006,SpecRate06,SpecRate06,Cycle in FO4,SpecInt2006 per MHz,Power Density (W/mm2),SpecAvg,SpecrAvg,Watts/Spec,Watts/SpecR,Watts/l^3*Spec,l^3*Spec^2/Watt,,SpecAvg*L,Watts/(V^2*L*Spec),Watts/(V^2*L*SpecR),NumChips,NumCores/Chip,ThreadPerCore,FO4,Performance,PerformanceR,IPC,IPCRate,,,,
Name,,Introduction,Clock Speed (MHz),Bus Width,Power Typ (W),Tech,Feature Size (um),Num Metal Layers,Num Transistors,Die Size,I $,D $,L2 $,L3$,Vdd,MIPS,int,fp,int,fp,int,fp,int,fp,int,fp,Cycle in FO4,SpecInt2006 per MHz,Power Density (W/mm2),,,,,,,2071.22086543168,,,,NumChips,NumCores/Chip,ThreadPerCore,FO4,Performance,PerformanceR,IPC,IPCRate,,,,
,MMX,1997-01-08,200,,7.3,,0.35,,4.5,140,16,16,0,,3.3,,,,6.4,4.8,68,36,0.44,0.22,,,40,0.002180,0.05,0.325860,0.000000,22.4022307421269,#DIV/0!,8.16407825879259,0.039913924811874,,0.114051142022896,5.87753659769825,#DIV/0!,,1,,0.000000000063,2.05292055641213,0,0.0102646027820606,0,,,,
,,1997-06-02,233,,7.9,,0.35,,,140,,,,,3.3,,,,7.1,5.2,76,39,0.48,0.23,,,34,0.002076,0.06,0.358692,0.000000,22.0244903579134,#DIV/0!,8.02641776891888,0.04468887922344,,0.125542064995231,5.77843115778917,#DIV/0!,,1,,0.000000000063,2.25975716991416,0,0.00969852862624101,0,,,,
Intel Pentium Pro (1995),,1995-11-01,200,32,32,bicmos,0.35,4,5.5,196,16,16,0,,3.3,,,,8.7,6.8,93,51,0.59,0.31,,,40,0.002963,0.16,0.449148,0.000000,71.2460050412282,#DIV/0!,25.964287551468,0.0172986834194448,,0.157201796697497,18.6923796513783,#DIV/0!,,1,,0.000000000063,2.82963234055494,0,0.0141481617027747,0,,,,
Intel Pentium II (1997-1998),Klamath,1997-05-07,300,32,12,cmos,0.35,4,7.5,203,16,16,0,,2.8,,,,12,8.5,128,64,0.82,0.38,,,26,0.002725,0.06,0.599749,0.000000,20.0083645875917,#DIV/0!,7.2916780567025,0.0822511858880791,,0.209912208547252,7.2916780567025,#DIV/0!,,1,,0.000000000063,3.77841975385054,0,0.0125947325128351,0,,,,
,Deschutes,1998-01-26,333,,14,,0.25,5,,118,16,16,0,,2,,,,13,9.2,138,70,0.89,0.41,,,33,0.002659,0.12,0.649541,0.000000,21.5536835348241,#DIV/0!,21.5536835348241,0.0301359600680587,,0.162385236581259,21.5536835348241,#DIV/0!,,1,,0.000000000045,2.92293425846266,0,0.00877758035574371,0,,,,
,Mendocino,1998-08-24,300,,12,,0.25,,1.9,154,16,16,128,,2,,,,12,9.2,128,70,0.82,0.41,,,37,0.002725,0.08,0.615484,0.000000,19.4968544813493,#DIV/0!,19.4968544813493,0.0315683690848361,,0.153870974565144,19.4968544813493,#DIV/0!,,1,,0.000000000045,2.76967754217259,0,0.00923225847390862,0,,,,
Intel Pentium III (1999-2000),Katmai,1999-02-26,500,32,19,cmos,0.25,5,9.5,128,16,16,0,,2,,,,20.7,14.7,220,111,1.41,0.66,,,22,0.002820,0.15,1.035410,0.000000,18.350214401749,#DIV/0!,18.350214401749,0.0564249671912584,,0.258852561392812,18.350214401749,#DIV/0!,,1,,0.000000000045,4.65934610507061,0,0.00931869221014122,0,,,,
,Coppermine,1999-10-25,733,,16,,0.18,6,28,106,,,256,,1.65,,,,35.7,30.5,335,244,2.15,1.45,,,21,0.002927,0.15,1.797389,0.000000,8.90179946418548,#DIV/0!,23.8495570349619,0.0753636387294895,,0.323530092043421,18.1650841020008,#DIV/0!,,1,,2.75E-11,4.94282085066337,0,0.00674327537607554,0,,,,0.00000000022525
,Cascade,2000-03-08,1000,,22,,0.18,,,90,,,,,1.7,,,,,,442,314,2.83,1.86,,,31,0.002831,0.24,2.347920,0.000000,9.36999582424144,#DIV/0!,25.1039411443368,0.093527941406898,,0.422625588557355,18.0122949331823,#DIV/0!,,1,,2.75E-11,6.45677982518182,0,0.00645677982518182,0,,8.50E-12,0.00000000000901,0.0000000000643571428571429
Intel Pentium IV (2000-2005),Willamette,2000-11-20,1500,32,52,cmos,0.18,6,42,217,12,8,256,,1.7,,,,,,536,558,3.43,3.31,,,21,0.002289,0.24,3.373512,0.000000,15.414205330282,#DIV/0!,41.2974894179794,0.081688054552059,,0.607232082319016,29.6313059021184,#DIV/0!,,1,,2.75E-11,9.27715681320719,0,0.00618477120880479,0,,,,0.0000000000375416666666666
,,2001-09-01,2000,,57,,0.18,,,217,,,,,1.7,,,,,,656,714,4.20,4.24,,,15,0.002101,0.26,4.221052,0.000000,13.5037442117726,#DIV/0!,36.1790129130567,0.116671273698467,,0.759789273189528,25.9587547323579,#DIV/0!,,1,,2.75E-11,11.6078916737289,0,0.00580394583686445,0,,,,0.0000000000265
,Norwood,2002-01-02,2200,,55,,0.13,,55,145,,,512,,1.5,1.5,,,,,811,801,5.19,4.76,,,19,0.002361,0.38,4.975783,0.000000,11.0535374888131,#DIV/0!,78.6124366238981,0.063295107726552,,0.646851743818329,37.7898717566259,#DIV/0!,,1,,2.00E-11,9.95156528951275,0,0.00452343876796034,0,,,,0.0000000000204772727272727
,,2002-05-02,2533,,59,,0.13,,,131,,,,,1.5,,,,,,882,861,5.65,5.11,,,17,0.002230,0.45,5.381329,0.000000,10.9638346670734,#DIV/0!,77.9744727687852,0.0690139821034571,,0.699572752864888,37.4831954429858,#DIV/0!,,1,,2.00E-11,10.7626577363829,0,0.00424897660338843,0,,,,0.0000000000166851851851852
,,2002-11-02,3000,,73,,0.13,,,131,,,,,1.5,,,,,,1107.00,1091.00,7.09,6.48,,,14,0.002363,0.56,6.784872,0.000000,10.7592296049439,#DIV/0!,76.5193275271952,0.0886687405655315,,0.882033412098515,36.783690957073,#DIV/0!,,1,,2.00E-11,13.5697448015156,0,0.00452324826717187,0,,,,0.000000000014078125
,Prescott,2004-06-21,3600,,115,,0.09,,,112,,16,1024,,1.425,,,,,,1575.00,1630.00,10.09,9.68,,,17,0.002802,1.03,9.884195,0.000000,11.6347363350879,#DIV/0!,249.372778101164,0.0396362218938825,,0.88957752904005,63.662590664275,#DIV/0!,,1,,1.35E-11,13.3436629356008,0,0.00370657303766688,0,,,,0.0000000000121756756756757
,Extreme Edition,2005-03-01,3373,,109,,0.09,,169,135,,8,2048,0,1.5,,,,,,1793.00,2013.00,11.48,11.96,,,18,0.003405,0.81,11.719655,0.000000,9.30061528687208,#DIV/0!,199.344463453191,0.0587909718362598,,1.05476892629318,45.9289643796152,#DIV/0!,,1,,1.35E-11,15.8215338943977,0,0.00469064153406395,0,,,,0.0000000000107261904761905
,670,2005-12-01,3800,,115,,0.09,,169,135,12,16,2048,,1.5,,,,,,1857.00,2088.00,11.89,12.40,,,16,0.003130,0.85,12.147326,0.000000,9.46710401938239,#DIV/0!,202.912894791289,0.0598647322996302,,1.09325935141412,46.751130959913,#DIV/0!,,1,,1.35E-11,16.3988902712118,0,0.00431549743979258,0,,,,0.00000000000958510638297872
Intel Itanium 2001-2004,Merced,2001-05-29,800,64,130,cmos,0.18,6,25,300,16,16,96,,1.65,,,,,,370,711,2.37,4.22,,,39,0.002962,0.43,3.296234,0.000000,39.4389520601938,#DIV/0!,105.664201978829,0.0311953676402262,,0.593322052885322,80.4794450774285,#DIV/0!,,1,,2.75E-11,9.06464247463686,0,0.0113308030932961,0,,,,
,McKinley,2002-07-02,1000,,130,,0.18,,221,421,16,16,256,3072,1.5,,,,,,810,1178,5.19,7.00,,,31,0.005188,0.31,6.092082,0.000000,21.3391729485841,#DIV/0!,57.1715667561087,0.106557905406063,,1.09657483241649,52.6893159224298,#DIV/0!,,1,,2.75E-11,16.753226606363,0,0.016753226606363,0,,,,
,Madison,2004-11-04,1600,,130,,0.13,,592,432,16,16,256,9216,1.2,,,,,,1590,2712,10.18,16.11,,,27,0.006365,0.30,13.145233,0.000000,9.88951653465253,#DIV/0!,70.3339535065752,0.186897400687629,,1.70888030176025,52.828613967161,#DIV/0!,,1,,2.00E-11,26.2904661809269,0,0.0164315413630793,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,#DIV/0!,,,,,,#DIV/0!,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,
Intel Pentium D (2006),940 (Presler),2006-08-01,3200,64,130,cmos,0.065,6,376,140,12,16,2048,,1.33,,,,,,1598,1836,10,11,19,19,27,0.003250,0.93,10.800000,19.000000,12.037037037037,6.8421052631579,684.856454087223,0.015769728,,0.702,104.689459655823,59.5076928569941,1,2,1,1.05E-11,11.2968,0.141957142857143,0.00353025,0.0000443616071428571,,,,
,950 (Presler),2006-08-01,3400,64,130,cmos,0.065,6,376,140,12,16,2048,,1.33,,,,,,,,11,12,20,20,25,0.003206,0.93,11.300000,20.000000,11.5044247787611,6.5,654.55307116301,0.017263688,,0.7345,100.057182679902,56.5323082141444,1,2,1,1.05E-11,11.8198,0.149428571428571,0.00347641176470588,0.0000439495798319328,,,,
Intel Core 2 (2006-2007),Duo Extreme QX6700 (Kentsfield),2006-08-01,2666,64,130,cmos,0.065,6,291,143,32,32,4096,,1.34,,,,,,2829,2679,18.12,15.91,,,32,0.006797,0.91,17.015113,0.000000,7.64026676144117,#DIV/0!,434.69883713252,0.0391423009357884,,1.10598232546609,65.461442170101,#DIV/0!,1,4,1,1.05E-11,17.7978078836544,0,0.00667584691809991,0,,,,
